2;-5 -4 -3 -1
1;-5 -4 -3 -1 0
16;40 -75 -61 14 -49 22 -86 -92 -22 25 53 -68 31 30 -80 -48 -16 -52 6 64 14 61 92 -62 77 86 10 99 46 89 -68 10 3 29 -17 -54 -80 6 1 28 -6 44 -57 -14 -99 -60 6 55 65 5 -7 89 -86 -42 -36 -37 12 77 45 -11 75 -50 43 -60 39 -54 -91 -38 7 -25 5 -23 22 98 7 69 8 -58 -70 -22 -99 42 -40 -35 -27 -69 -70 96
49;90 -79 -5 -45 93 -37 87 -58 -58 -78 -3 -64 66 51 -43 -67 58 -51 97 -87 -33 55 -87 82 -40 77 -65 -73 -94 -22 36 -58 99 21 18 -58 -69 71 -65 -29 68 -84 -36 59 -35 48 -68 46 67 4 -28 -45 -83 7 9 -90 -37 38 14 8 -56 -63 -8 2 41 -51
47;23 -11 -60 -33 35 60 50 -23 -22 95 95 64 -48 -16 8 2 -29 46 -42 19 -67 93 81 -95 -55 98 94 39 47 -47 -39 2 80 -18 -41 14 -87 -51 -82 -42 30 89 -47 41 -47 -84 40 1 81 -6 -19 54 -81 -60 13 45 -41 -26 70 99 36 58 37 -41 -52 62 -90 -22 43 17 -90 33 -94 -25 69 -25 9 -76 99 14 41 -30 79 0 -99 -64 -8 35 84 57 -73 63 25 -5 -28 -76 63 -55 -4
36;8 -49 74 -98 -41 -92 14 -61 -20 -90 -42 92 56 47 39 68 -18 -89 39 -86 -45 19 55 -65 -3 -38 14 -57 62 52 46 8 -48 71 -10 -34 -37 -94 -55 60 18 -34 -38 -89 75 79 83 -46 31 -64 -37 9 -97 -46 28 77 97 -41 51 -5 -7 -22
10;-39 -63 69 -2 -89 95 -83 51 -84 8 8 60 81 28 -22 -32 95 -99 -64 53 99 -4 -55 0 -43 -20 8 26 25 15 -21 -26 -15 31 -91 -21 -43 -44 67 13 -37 15 -83 28 -87 31 -97 -41 -9
9;95 58 -20 27 -44 61 -11 -99 17 -59 57 -26 92 -24 -43 26 -49 79 -70 10 83 -20 -61 -18 89 26 79 99 -43 -36 48 3 -18 23 -26 -52 88 -58 -82 -5 -58 28 78 -47 14 -10 68 18 -31 9 -72
35;64 -84 -88 84 -81 14 91 -80 98 -79 44 87 74 89 -90 -59 -40 -10 -73 -50 3 49 -18 95 49 -16 -38 44 6 23 64 -38 -5 57 -13 46 -52 -47 90 56 86 -56 19 -25 53 34 -57 70 93 64 22 97 10 -51 81 -42 -65 -77 11 -73 -59 -63 58 46 98 -55
18;-91 8 -1 -23 16 60 -44 -36 25 -33 58 -30 53 69 1 24 64 -38 73 1 -79 -24 -37 47 -46 10 84 50 -39 -57 8 -47 62 87 -65 -26 -87 -29 38 -26 19 -36 -73 46 -15 -37 8 -55 1 -88 15 11 -96 -38 -73 -63 0 5 74 81 13 -78
27;-25 -92 -48 43 70 59 -15 -74 71 63 -52 15 0 -90 63 40 -28 -22 98 83 -87 -13 -98 30 -70 80 86 -77 -12 36 40 -97 12 60 95 67 78 49 56 9 -69 43 -13 -48
6;33 -81 94 15 25 51 87 61 -65 -15 -26 90 94 -7 90 26 86 47 44 61 -46 -13 -38 -91 -41 20 -55 24 -43 2 82
19;-71 86 -44 92 -55 35 -38 47 -16 -34 55 -14 -33 -32 19 73 78 93 -6 -28 -65 25 -86 -94 -52 68 -57 -82 26 53 62 56 -93 63 -95 80 31 -55 50 86 33 55 -72 -87 -95 95 63 -66 -97 77 -46 -84 -58 74 -67 30 18 -67 13 43 25 78 54 55 1 67 33 -15 -7 38 -4 31 6 -77 -91 91 38 75
5;88 -61 63 54 -54 -76 24 46 -2 -87 -70 -33 -9 12 34 90 32 52 -7 -78 54 94 -20 -85 16 0 81 86 55 -59 -32 42 24
1;21 54 -57 8 59 68 3 39 62 -3 7 66 51 57 -82 -93 99 81 -59 -21 0 89 -71 -35 -23 -86 -82 72 11 97 49 99 88 81 40 -13 -71 16 -7 79 61 -19 8 -7 78 63 -40 7 0 -24 -85
25;99 24 38 -9 -5 94 34 -38 -81 -25 -1 -25 9 -54 22 -11 -31 76 -36 -32 12 45 92 85 77 48 94 46 -16 69 -66 78 -14 1 -55 -97 -16 -74 83 86 -56 -33 -97 59 98 37 74 54 33 -6 -2 -30 30 -33 94 -67 90 -17 95 -67 -50 -77 90 -19 75 -24 42 89 -35 27 -70 7 23 -75 94 -19 77 84
20;90 93 33 -64 -94 -90 -64 76 93 89 -89 -46 -6 -77 51 -21 -2 25 28 -88 -23 37 -40 -31 78 -42 -75 -86 -14 53 26 46 -71 26 29 -16 10 -6 -15 -25 -79 -70 -23 -81 13 56 87 38 59 -75 90 53 -75 -29 62 -47 -51 -87 -14 14 73 15 -89 -38 -22 -78 -25 -48 -4 -55 -74 -56 48 57 -82 4 -33 -87 9 -30 69 -28 -46 42 22 16 -68 10 -88
20;78 -76 -35 95 -91 -11 -87 -44 -43 28 -16 98 -65 30 54 81 34 -52 35 -34 7 18 52 64 80 -76 -37 -45 -42 59 -36
